,Title,Body,URL,Date
0,Hundreds down tools at Hinkley Point C nuclear plant,"They were working at the Somerset nuclear power station for engineering firm Bylor before Friday's walkout. Energy firm EDF, which runs the site, said Bylor was in discussions with workers about resolving the issues. It is understood that the vast majority of the site's 7,500 staff have not taken part in the walkout. A spokesperson for Bylor said: ""Whilst other members of our Bylor team continued to work as normal at Hinkley Point C today, some have chosen to stand down. ""This group of workers have expressed concerns about their working arrangements at Hinkley Point C."" EDF said discussions, involving Bylor and unions, were taking place to try and resolve the issues. The Bylor spokesperson said the talks with staff were aimed at resolving ""their concerns so that we can achieve a resolution and return to work"". The company has been tasked with carrying out civil construction works as a contract partner at the site - which could cost up to £23billion.",https://www.bbc.co.uk/news/uk-england-somerset-60957803,2022-04-01
1,Hinkley Point C: Fire starts at nuclear power station site,"The fire at Hinkley Point C started at about 14:20 BST in a temporary building on Hinkley Point Road. Ten crews were sent to tackle it and the fire was extinguished in about 30 minutes. Devon and Somerset Fire and Rescue service said there were no reported injuries. EDF Energy said construction work had not been affected and an investigation into the cause was under way. A company spokesman said it was a ""small fire in a temporary building away from the main construction area"".  Hinkley Point C is being built at a cost of between £22bn to £23bn and is expected to open in 2026.",https://www.bbc.co.uk/news/uk-england-somerset-58629736,2021-09-20
2,Hinkley Point C nuclear plant to open later at greater cost,"French energy firm EDF said it had made ""significant progress"" at the Bridgwater site despite the impact of coronavirus and lockdown restrictions. The plant is due to open in June 2026 and not in 2025 as planned and will cost between £22bn and £23bn. It is expected to generate electricity for up to six million homes. That equates to about 7% of the UK's energy supply.  Original estimates for the cost of the power station had been £18bn in 2016 but they have been repeatedly revised up.  Previous costings  , and £20.3bn before that.  The first reactor's base was completed in June 2019 and the second reactor base was completed on time last summer.  The number of workers at the site has been reduced to enable social distancing during the pandemic. Where that is not possible, workers have used additional protective equipment.  Plans for Hinkley Point C were announced more than a decade ago and they gained government approval in 2016. Hinkley Point A ceased producing electricity in 2000,  due to its age.",https://www.bbc.co.uk/news/uk-england-somerset-55823575,2021-01-27
3,"Hinkley Point C nuclear plant 'on track', says EDF","The construction of Hinkley Point C began two years ago after the government signed a deal with French firm EDF and its Chinese partner CGN. It is expected to provide 7% of the UK's electricity needs for 60 years. EDF said it would be a ""significant moment"" when a 4,500 tonne concrete platform supporting the reactor buildings was completed in 2019. More than 3,200 people are building the power station near Bridgwater. Stuart Crooks, Hinkley Point C managing director, said unions, contractors and suppliers had all been ""successfully working together"" on the plant, which is expected to open in 2025. ""Everyone working on the project should be proud of what they have achieved so far,"" he said. ""I am also proud of the positive impact that Hinkley Point C is having on the south west."" Peter McIntosh, from Unite union, said the plant was continuing to be an ""enormous jobs generator"" for the south-west of England. ""It is creating thousands of highly skilled construction jobs and EDF has already started to deliver on its commitments with over 250 apprenticeships,"" he said. ""Once it starts operating, it will employ a 900-strong workforce."" Energy Minister Richard Harrington said Hinkley Point C also ""marks a significant step forward in our transition to a clean, low-carbon energy system"". There   over mud from the seabed near the site being dumped near Cardiff, while in March hundreds of staff   after claiming they were not paid when snow brought work to a halt.",https://www.bbc.co.uk/news/uk-england-somerset-45653174,2018-09-27
4,"Hinkley Point C: 1,000 Welsh workers at English nuclear plant","It comes after several large infrastructure projects in Wales were either cancelled or suspended. These include  ,  ,   and the  .  Hinkley Point C also took on 21 apprentices from Wylfa Newydd. One of them is 21-year-old Jessica Williams, who is in the second year of her apprenticeship and will move about 280 miles south to Somerset this summer to complete her qualification.  When Wylfa Newydd, on Anglesey, was suspended earlier this year, the French company behind Hinkley Point C, EDF, came looking for future workers. ""The transition was a bit of a shock to be honest… I would have liked to stay on Anglesey but it's a good opportunity so I can't give it a miss,"" Miss Williams said. ""It's a bit disheartening to be honest, but you've got to do what you've got to do."" She said she was excited to see where her career and transferable skills take her, but hoped to return to Anglesey at some point.  EDF has also looked to Wales for construction workers to build Hinkley Point C. Most of the 1,000 Welsh construction workers travel there at the beginning of a week and stay in the specially-constructed ""Hinkley campus"", before returning home on a Friday. At one point there was concern there would be a construction skills shortage in Wales because of the number of large infrastructure projects in the pipeline, but they did not get off the ground. Robert Morris from Pontypridd, Rhondda Cynon Taff, is a carpenter with 30 years' experience. He started the job in Somerset in February after working on a hospital in Cwmbran.  ""In this game if you've got a year's work, you're laughing. I've got a lot more than that... It's nice to have certainty, especially in the construction industry."" Anecdotally, it is well-paid work and EDF said the project had already spent £1.1bn in the region - there are also about 80 Welsh companies in the supply chain. CBI Wales director Ian Price said it was great to see Welsh firms winning business across the UK.  ""However, the fact that many Welsh firms have to travel so far to find work is a reflection on the scarcity of made-in-Wales infrastructure projects,"" he added.",https://www.bbc.co.uk/news/uk-wales-48760581,2019-06-25
5,Hinkley Point C: Dust cloud released as nuclear site silo damaged,"A spokesperson for EDF, which is building the site, said the silo suffered structural damage at about 07:30 BST. They said the tower, which was being used to make concrete, did not collapse and nobody was injured. The emergency services were not required and an investigation into the cause is underway. A large dust cloud was caused because the silo contained finely ground particles of Ground Granulated Blast Furnace Slag (GGBS), which are added to the concrete mix, the spokesperson said. The BBC understands the weight of the particles caused the bottom to fall out of the silo. The power plant in Somerset is due to be completed by 2025.",https://www.bbc.co.uk/news/uk-england-somerset-52995069,2020-06-10
6,"Hinkley Point C: Nuclear plant work to create 3,000 new jobs","EDF Energy said at its peak up to 8,500 people will be working at the site ahead of a planned opening in June 2026. It announced on Wednesday that the plant's opening  The plant is expected to generate power for up to six million homes.  That equates to about 7% of the UK's total electricity demand.  EDF had originally predicted that up to 5,600 staff would be working at the site when plans were filed for the power station in 2012.  But Nigel Cann, EDF's programme and construction delivery director, said the company has now ""honed plans"",  He said it had lost the equivalent of three months' work due to the pandemic and anticipates losing another three months' worth before it ends.   But critical work,   has been completed on time despite the pandemic.  Mr Cann said the company has started plan for a time ""when we can start getting back to normal"" and is assuming that coronavirus restrictions are lifted by the summer. He told BBC Radio Somerset: ""This project's not just about this site. It's about factories all across the world and they've obviously been impacted by the pandemic.  ""We remain on track on the key milestones of the site. We hit 18 of our key 20 milestones of the year.  ""This is a health crisis not a construction crisis and we're as impacted as everyone else across the globe.""",https://www.bbc.co.uk/news/uk-england-somerset-55861121,2021-01-29
7,Hinkley Point C legal challenge by Austria rejected,"The   saying UK government subsidies breached European rules on state aid. But the approval from the   in 2014 has been upheld at the European Court of Justice, which found the deal was within EU rules. EDF Energy said it had been ""confident"" its plans ""would withstand legal challenge"". The Austrian government argued rules were breached by the UK when it agreed a deal to guarantee the price of electricity from the nuclear plant. A spokeswoman for EDF Energy said the state aid investigation had been ""exhaustive, fair and robust"". But Austria's ministry for sustainability and tourism said it regretted the judgement which sends a wrong signal about subsidies for building nuclear power plants.  ""The reasons for rejecting the lawsuit against Hinkley Point C will now be carefully examined, and the Austrian government will then decide on a timely appeal,"" it said.  The construction of the Hinkley Point C power station, near Bridgwater, is likely to cost £19.6bn and it is due to be up-and-running by the end of 2025. It is expected the two new reactors will provide 7% of the country's electricity needs for 60 years.",http://www.bbc.co.uk/news/uk-england-somerset-44805337,2018-07-12
8,Cycle path part-funded by Hinkley Point C nuclear plant,"The path from Bridgwater to Hinkley Point will provide a safe route for people wishing to get to the site. It will avoid the A38 and connect Huntworth Roundabout with the town centre.  Alan Bradford, mayor of North Petherton, says ""hopefully"" it will make the ""whole network safer"". ""With the increased traffic - now Hinkley Point's been granted - people will have the option to come away from the A38,"" he said. The government recently approved the new £18bn nuclear power station at Hinkley Point after imposing ""significant new safeguards"" to protect national security.",https://www.bbc.co.uk/news/uk-england-somerset-37492893,2016-09-28
9,Hinkley Point C: Strike action threat over bonuses averted,"Unite union members had warned of strikes over bonus pay, but it has now been agreed that interim bonuses will be paid out until the end of August. A long-term settlement will also be considered by union officials and EDF Energy, which is behind the scheme.  is expected to be operational in 2025.  Unite officer, Jerry Swain, said the interim agreement was ""crucial"" in providing a ""breathing space"" and ""creating the opportunity for a long-term solution"". ""I am pleased that following consultation with our stewards and members that we have been able to agree a clear path forward,"" he said. ""And that the prospect of industrial action, which is always a last resort, can be taken off the agenda in order to allow the panel to deliberate."" Nigel Cann, of EDF, said it has created a ""very competitive reward structure"" for its workforce.  ""We are pleased that these interim arrangements allow constructive dialogue to continue to finalise this important agreement,"" he said. ""Unite has been a constructive partner in the discussions to date and I look forward to this continuing throughout the construction of the Hinkley Point C power station.""",https://www.bbc.co.uk/news/uk-england-somerset-40191920,2017-06-07
